POSTAL_CODE,CITY,PROVINCE_ABBR,TIME_ZONE,LATITUDE,LONGITUDE
A1A 2B6,ST. JOHN'S,NL,3,47.5930893,-52.6997857
A1A 2E3,ST. JOHN'S,NL,3,47.578635,-52.706706
A1A 2E4,ST. JOHN'S,NL,3,47.579356,-52.707096
A1A 2H3,ST. JOHN'S,NL,3,47.5942864,-52.7095073
A1A 2H6,ST. JOHN'S,NL,3,47.58247,-52.704195
A1A 2H7,ST. JOHN'S,NL,3,47.583067,-52.704568
A1A 2J2,ST. JOHN'S,NL,3,47.585001,-52.704955
A1A 2K4,ST. JOHN'S,NL,3,47.594162,-52.703113
A1A 2L2,ST. JOHN'S,NL,3,47.5946576,-52.7043252
A1A 2L8,ST. JOHN'S,NL,3,47.595673,-52.706194
A1A 2M5,ST. JOHN'S,NL,3,47.5969554,-52.7077389
A1A 2M6,ST. JOHN'S,NL,3,47.597033,-52.707881
A1A 2M7,ST. JOHN'S,NL,3,47.6021461,-52.7123377
A1A 2N2,ST. JOHN'S,NL,3,47.60496,-52.709027
A1A 2N5,ST. JOHN'S,NL,3,47.604608,-52.711238
A1A 2V1,ST. JOHN'S,NL,3,47.5937991,-52.7064899
A1A 2W1,ST. JOHN'S,NL,3,47.5964375,-52.7043339
A1A 2W4,ST. JOHN'S,NL,3,47.595948,-52.704499
A1A 2Y5,ST. JOHN'S,NL,3,47.599898,-52.707585
A1A 2Y6,ST. JOHN'S,NL,3,47.595193,-52.720964
A1A 2Y8,ST. JOHN'S,NL,3,47.594111,-52.7199333
A1A 2Z4,ST. JOHN'S,NL,3,47.5944879,-52.7231069
A1A 2Z7,ST. JOHN'S,NL,3,47.5937609,-52.7220366
A1A 2Z8,ST. JOHN'S,NL,3,47.59368,-52.7221847
A1A 3A5,ST. JOHN'S,NL,3,47.594879,-52.72284
A1A 3C4,ST. JOHN'S,NL,3,47.6049811,-52.7163303
A1A 3E3,ST. JOHN'S,NL,3,47.608695,-52.711057
A1A 3G1,ST. JOHN'S,NL,3,47.596868,-52.693975
A1A 3G4,ST. JOHN'S,NL,3,47.598116,-52.697835
A1A 3H1,ST. JOHN'S,NL,3,47.5949436,-52.6910812
A1A 3H4,ST. JOHN'S,NL,3,47.596548,-52.693794
A1A 3H8,ST. JOHN'S,NL,3,47.5962422,-52.6927235
A1A 3J6,ST. JOHN'S,NL,3,47.5994356,-52.6943694
A1A 3K1,ST. JOHN'S,NL,3,47.5945202,-52.6870316
A1A 3K4,ST. JOHN'S,NL,3,47.5983469,-52.686416
A1A 3L6,ST. JOHN'S,NL,3,47.599588,-52.688773
A1A 3M1,ST. JOHN'S,NL,3,47.6002511,-52.6973636
A1A 3M6,ST. JOHN'S,NL,3,47.599363,-52.699169
A1A 3M8,ST. JOHN'S,NL,3,47.6032935,-52.6965965
A1A 3N4,ST. JOHN'S,NL,3,47.6046035,-52.6964463
A1A 3R2,ST. JOHN'S,NL,3,47.5984553,-52.6982359
A1A 3R4,ST. JOHN'S,NL,3,47.578103,-52.705242
A1A 3R7,ST. JOHN'S,NL,3,47.5997267,-52.7004661
A1A 3S1,ST. JOHN'S,NL,3,47.602407,-52.7035924
A1A 3S6,ST. JOHN'S,NL,3,47.57069,-52.6939101
A1A 3T1,ST. JOHN'S,NL,3,47.6042094,-52.6955084
A1A 3W7,ST. JOHN'S,NL,3,47.5933882,-52.7018937
A1A 3X4,ST. JOHN'S,NL,3,47.5938663,-52.6984679
A1A 3Y2,ST. JOHN'S,NL,3,47.5942932,-52.696232
A1A 3Z2,ST. JOHN'S,NL,3,47.5958322,-52.6973262
A1A 3Z7,ST. JOHN'S,NL,3,47.5962926,-52.6992035
A1A 3Z9,ST. JOHN'S,NL,3,47.5765716,-52.6952235
A1A 4A1,ST. JOHN'S,NL,3,47.577716,-52.703879
A1A 4A7,ST. JOHN'S,NL,3,47.601563,-52.709391
A1A 4B1,ST. JOHN'S,NL,3,47.601635,-52.708443
A1A 4B5,ST. JOHN'S,NL,3,47.597555,-52.7151948
A1A 4B6,ST. JOHN'S,NL,3,47.596278,-52.718423
A1A 4B9,ST. JOHN'S,NL,3,47.5979366,-52.7139251
A1A 4C2,ST. JOHN'S,NL,3,47.5802815,-52.6835231
A1A 4E3,ST. JOHN'S,NL,3,47.5989529,-52.7142922
A1A 4G8,ST. JOHN'S,NL,3,47.600575,-52.7159308
A1A 4N5,ST. JOHN'S,NL,3,47.6040531,-52.707567
A1A 4N7,ST. JOHN'S,NL,3,47.6049613,-52.7072013
A1A 4P8,ST. JOHN'S,NL,3,47.6105871,-52.7063094
A1A 4R4,ST. JOHN'S,NL,3,47.5988213,-52.7207344
A1A 4T9,ST. JOHN'S,NL,3,47.5995332,-52.7218927
A1A 4X5,ST. JOHN'S,NL,3,47.6030044,-52.7508351
A1A 4Y6,ST. JOHN'S,NL,3,47.6134643,-52.7252486
A1A 4Y8,ST. JOHN'S,NL,3,47.6132381,-52.7278961
A1A 4Z4,ST. JOHN'S,NL,3,47.6136265,-52.7268305
A1A 4Z9,ST. JOHN'S,NL,3,47.611122,-52.722804
A1A 5A6,ST. JOHN'S,NL,3,47.5964596,-52.7255801
A1A 5C2,ST. JOHN'S,NL,3,47.6064807,-52.7170591
A1A 5C7,ST. JOHN'S,NL,3,47.604897,-52.686005
A1A 5E2,ST. JOHN'S,NL,3,47.5981431,-52.7130983
A1A 5E4,ST. JOHN'S,NL,3,47.608237,-52.714419
A1A 5E5,ST. JOHN'S,NL,3,47.5819604,-52.7095466
A1A 5G9,ST. JOHN'S,NL,3,47.6108164,-52.7224563
A1A 5H2,ST. JOHN'S,NL,3,47.6017661,-52.717913
A1A 5H6,ST. JOHN'S,NL,3,47.612122,-52.709395
A1A 0K4,ST. JOHN'S,NL,3,47.5983576,-52.6901987
A1A 0K5,ST. JOHN'S,NL,3,47.5983576,-52.6901987
A1A 0L6,ST. JOHN'S,NL,3,47.5711021,-52.7295907
A1A 0L9,ST. JOHN'S,NL,3,47.5607605,-52.71224976
A1A 0N7,ST. JOHN'S,NL,3,47.5607605,-52.71224976
A1A 0N8,ST. JOHN'S,NL,3,47.5607605,-52.71224976
A1A 0R5,ST. JOHN'S,NL,3,47.581312,-52.680709
A1A 1A3,ST. JOHN'S,NL,3,47.569872,-52.692057
A1A 1A6,ST. JOHN'S,NL,3,47.5693553,-52.6910893
A1A 1B8,ST. JOHN'S,NL,3,47.5719431,-52.6974098
A1A 1C5,ST. JOHN'S,NL,3,47.572809,-52.697038
A1A 1E6,ST. JOHN'S,NL,3,47.5778991,-52.6916121
A1A 1G3,ST. JOHN'S,NL,3,47.5826548,-52.6789721
A1A 1G7,ST. JOHN'S,NL,3,47.5797065,-52.6815116
A1A 1G9,ST. JOHN'S,NL,3,47.57663,-52.696216
A1A 1H5,ST. JOHN'S,NL,3,47.5755704,-52.7032534
A1A 1J5,ST. JOHN'S,NL,3,47.584558,-52.702411
A1A 1K1,ST. JOHN'S,NL,3,47.579181,-52.700217
A1A 1K9,ST. JOHN'S,NL,3,47.582661,-52.698553
A1A 1L6,ST. JOHN'S,NL,3,47.581884,-52.700283
A1A 1M4,ST. JOHN'S,NL,3,47.5834618,-52.7010979
A1A 1R9,ST. JOHN'S,NL,3,47.586965,-52.690456
A1A 1T2,ST. JOHN'S,NL,3,47.576466,-52.706353
A1A 1V3,ST. JOHN'S,NL,3,47.582617,-52.709361
A1A 1W2,ST. JOHN'S,NL,3,47.584574,-52.708222
A1A 1W4,ST. JOHN'S,NL,3,47.5858891,-52.7092103
A1A 1W7,ST. JOHN'S,NL,3,47.582969,-52.711719
A1A 1Y2,ST. JOHN'S,NL,3,47.584905,-52.703849
A1A 1Z1,ST. JOHN'S,NL,3,47.5890372,-52.7036416
A1A 2A6,ST. JOHN'S,NL,3,47.58946,-52.70333
A1A 2A7,ST. JOHN'S,NL,3,47.589741,-52.702952
A1A 2B8,ST. JOHN'S,NL,3,47.578104,-52.7058381
A1A 2C2,ST. JOHN'S,NL,3,47.579694,-52.707986
A1A 2E1,ST. JOHN'S,NL,3,47.5861629,-52.7132619
A1A 2E8,ST. JOHN'S,NL,3,47.5805384,-52.7103609
A1A 2G3,ST. JOHN'S,NL,3,47.5812309,-52.7044212
A1A 2G7,ST. JOHN'S,NL,3,47.586089,-52.707738
A1A 2G9,ST. JOHN'S,NL,3,47.588334,-52.709755
A1A 2K7,ST. JOHN'S,NL,3,47.5932155,-52.7087095
A1A 2L5,ST. JOHN'S,NL,3,47.59634,-52.70379
A1A 2N1,ST. JOHN'S,NL,3,47.604639,-52.709618
A1A 2P3,ST. JOHN'S,NL,3,47.596642,-52.712221
A1A 2R3,ST. JOHN'S,NL,3,47.592489,-52.718738
A1A 2S1,ST. JOHN'S,NL,3,47.5925763,-52.7202168
A1A 2T4,ST. JOHN'S,NL,3,47.597622,-52.713594
A1A 2T6,ST. JOHN'S,NL,3,47.595727,-52.7086567
A1A 2Y7,ST. JOHN'S,NL,3,47.5953243,-52.7213234
A1A 3A8,ST. JOHN'S,NL,3,47.6048844,-52.709343
A1A 3B4,ST. JOHN'S,NL,3,47.6046489,-52.7131648
A1A 3E4,ST. JOHN'S,NL,3,47.604888,-52.713258
A1A 3G6,ST. JOHN'S,NL,3,47.5944188,-52.6922442
A1A 3G7,ST. JOHN'S,NL,3,47.59662,-52.695463
A1A 3J1,ST. JOHN'S,NL,3,47.5971158,-52.6944944
A1A 3K3,ST. JOHN'S,NL,3,47.5975569,-52.6871653
A1A 3K9,ST. JOHN'S,NL,3,47.599787,-52.6890191
A1A 3L5,ST. JOHN'S,NL,3,47.5989632,-52.6911726
A1A 3L7,ST. JOHN'S,NL,3,47.5947469,-52.6912432
A1A 3L9,ST. JOHN'S,NL,3,47.60092,-52.69654
A1A 3M4,ST. JOHN'S,NL,3,47.600909,-52.69815
A1A 3N2,ST. JOHN'S,NL,3,47.6050726,-52.6953494
A1A 3S8,ST. JOHN'S,NL,3,47.60177,-52.7026842
A1A 3T3,ST. JOHN'S,NL,3,47.5775269,-52.6926971
A1A 3V4,ST. JOHN'S,NL,3,47.5963487,-52.7194388
A1A 3V5,ST. JOHN'S,NL,3,47.5969809,-52.6942716
A1A 3Y1,ST. JOHN'S,NL,3,47.593792,-52.696239
A1A 4A2,ST. JOHN'S,NL,3,47.6011984,-52.7076165
A1A 4A9,ST. JOHN'S,NL,3,47.6013606,-52.7067913
A1A 4B2,ST. JOHN'S,NL,3,47.6001121,-52.7090672
A1A 4C5,ST. JOHN'S,NL,3,47.5878486,-52.6918782
A1A 4C6,ST. JOHN'S,NL,3,47.600273,-52.7137537
A1A 4E1,ST. JOHN'S,NL,3,47.599238,-52.711366
A1A 4G1,ST. JOHN'S,NL,3,47.5984461,-52.7174838
A1A 4G4,ST. JOHN'S,NL,3,47.600634,-52.714601
A1A 4G9,ST. JOHN'S,NL,3,47.5988287,-52.7179293
A1A 4N3,ST. JOHN'S,NL,3,47.6027891,-52.7081499
A1A 4N9,ST. JOHN'S,NL,3,47.6071182,-52.7072579
A1A 4P6,ST. JOHN'S,NL,3,47.6080917,-52.7076124
A1A 4R3,ST. JOHN'S,NL,3,47.5973578,-52.721148
A1A 4R9,ST. JOHN'S,NL,3,47.6066096,-52.714878
A1A 4T2,ST. JOHN'S,NL,3,47.598113,-52.719674
A1A 4T3,ST. JOHN'S,NL,3,47.598703,-52.719552
A1A 4T5,ST. JOHN'S,NL,3,47.5987265,-52.7193037
A1A 4V2,ST. JOHN'S,NL,3,47.5996598,-52.7214872
A1A 4W2,ST. JOHN'S,NL,3,47.609939,-52.711109
A1A 4W3,ST. JOHN'S,NL,3,47.6096864,-52.7117116
A1A 4X1,ST. JOHN'S,NL,3,47.6013158,-52.7409013
A1A 4X7,ST. JOHN'S,NL,3,47.605178,-52.7514074
A1A 5A1,ST. JOHN'S,NL,3,47.608879,-52.728013
A1A 5A2,ST. JOHN'S,NL,3,47.5957613,-52.72521
A1A 5A8,ST. JOHN'S,NL,3,47.6101915,-52.7045246
A1A 5B2,ST. JOHN'S,NL,3,47.595159,-52.708363
A1A 5C4,ST. JOHN'S,NL,3,47.612147,-52.69916
A1A 5C9,ST. JOHN'S,NL,3,47.6073093,-52.7205831
A1A 5J3,ST. JOHN'S,NL,3,47.6063739,-52.7197636
A1A 5J5,ST. JOHN'S,NL,3,47.6010323,-52.7201061
